Ticker,Date,Signal,Price
RELIANCE.NS,2025-07-21,BUY,"Ticker
RELIANCE.NS    1428.599976
Name: 2025-07-21 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-22,BUY,"Ticker
RELIANCE.NS    1412.800049
Name: 2025-07-22 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-23,BUY,"Ticker
RELIANCE.NS    1424.599976
Name: 2025-07-23 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-24,BUY,"Ticker
RELIANCE.NS    1402.900024
Name: 2025-07-24 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-25,BUY,"Ticker
RELIANCE.NS    1391.699951
Name: 2025-07-25 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-28,BUY,"Ticker
RELIANCE.NS    1387.599976
Name: 2025-07-28 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-29,BUY,"Ticker
RELIANCE.NS    1417.099976
Name: 2025-07-29 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-30,BUY,"Ticker
RELIANCE.NS    1410.099976
Name: 2025-07-30 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-31,BUY,"Ticker
RELIANCE.NS    1390.199951
Name: 2025-07-31 00:00:00, dtype: float64"
INFY.NS,2025-04-30,SELL,"Ticker
INFY.NS    1479.286255
Name: 2025-04-30 00:00:00, dtype: float64"
INFY.NS,2025-05-05,SELL,"Ticker
INFY.NS    1487.668335
Name: 2025-05-05 00:00:00, dtype: float64"
INFY.NS,2025-05-06,SELL,"Ticker
INFY.NS    1490.528076
Name: 2025-05-06 00:00:00, dtype: float64"
INFY.NS,2025-05-07,SELL,"Ticker
INFY.NS    1487.372559
Name: 2025-05-07 00:00:00, dtype: float64"
INFY.NS,2025-05-08,SELL,"Ticker
INFY.NS    1490.429565
Name: 2025-05-08 00:00:00, dtype: float64"
INFY.NS,2025-05-09,SELL,"Ticker
INFY.NS    1486.682251
Name: 2025-05-09 00:00:00, dtype: float64"
INFY.NS,2025-05-12,SELL,"Ticker
INFY.NS    1604.327026
Name: 2025-05-12 00:00:00, dtype: float64"
INFY.NS,2025-05-13,SELL,"Ticker
INFY.NS    1546.835815
Name: 2025-05-13 00:00:00, dtype: float64"
INFY.NS,2025-05-14,SELL,"Ticker
INFY.NS    1570.305664
Name: 2025-05-14 00:00:00, dtype: float64"
INFY.NS,2025-05-15,SELL,"Ticker
INFY.NS    1590.619751
Name: 2025-05-15 00:00:00, dtype: float64"
INFY.NS,2025-07-24,BUY,"Ticker
INFY.NS    1552.5
Name: 2025-07-24 00:00:00, dtype: float64"
INFY.NS,2025-07-25,BUY,"Ticker
INFY.NS    1515.699951
Name: 2025-07-25 00:00:00, dtype: float64"
INFY.NS,2025-07-28,BUY,"Ticker
INFY.NS    1516.0
Name: 2025-07-28 00:00:00, dtype: float64"
INFY.NS,2025-07-29,BUY,"Ticker
INFY.NS    1513.699951
Name: 2025-07-29 00:00:00, dtype: float64"
TCS.NS,2025-04-29,SELL,"Ticker
TCS.NS    3430.265869
Name: 2025-04-29 00:00:00, dtype: float64"
TCS.NS,2025-04-30,SELL,"Ticker
TCS.NS    3411.69458
Name: 2025-04-30 00:00:00, dtype: float64"
TCS.NS,2025-05-05,SELL,"Ticker
TCS.NS    3412.287354
Name: 2025-05-05 00:00:00, dtype: float64"
TCS.NS,2025-05-06,SELL,"Ticker
TCS.NS    3417.917969
Name: 2025-05-06 00:00:00, dtype: float64"
TCS.NS,2025-05-07,SELL,"Ticker
TCS.NS    3403.199219
Name: 2025-05-07 00:00:00, dtype: float64"
TCS.NS,2025-05-08,SELL,"Ticker
TCS.NS    3406.952881
Name: 2025-05-08 00:00:00, dtype: float64"
TCS.NS,2025-05-09,SELL,"Ticker
TCS.NS    3398.45752
Name: 2025-05-09 00:00:00, dtype: float64"
TCS.NS,2025-05-12,SELL,"Ticker
TCS.NS    3576.366943
Name: 2025-05-12 00:00:00, dtype: float64"
TCS.NS,2025-06-04,BUY,"Ticker
TCS.NS    3369.465088
Name: 2025-06-04 00:00:00, dtype: float64"
TCS.NS,2025-06-05,BUY,"Ticker
TCS.NS    3359.698242
Name: 2025-06-05 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-21,BUY,"Ticker
RELIANCE.NS    1428.599976
Name: 2025-07-21 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-22,BUY,"Ticker
RELIANCE.NS    1412.800049
Name: 2025-07-22 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-23,BUY,"Ticker
RELIANCE.NS    1424.599976
Name: 2025-07-23 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-24,BUY,"Ticker
RELIANCE.NS    1402.900024
Name: 2025-07-24 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-25,BUY,"Ticker
RELIANCE.NS    1391.699951
Name: 2025-07-25 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-28,BUY,"Ticker
RELIANCE.NS    1387.599976
Name: 2025-07-28 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-29,BUY,"Ticker
RELIANCE.NS    1417.099976
Name: 2025-07-29 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-30,BUY,"Ticker
RELIANCE.NS    1410.099976
Name: 2025-07-30 00:00:00, dtype: float64"
RELIANCE.NS,2025-07-31,BUY,"Ticker
RELIANCE.NS    1390.199951
Name: 2025-07-31 00:00:00, dtype: float64"
INFY.NS,2025-04-30,SELL,"Ticker
INFY.NS    1479.286255
Name: 2025-04-30 00:00:00, dtype: float64"
INFY.NS,2025-05-05,SELL,"Ticker
INFY.NS    1487.668335
Name: 2025-05-05 00:00:00, dtype: float64"
INFY.NS,2025-05-06,SELL,"Ticker
INFY.NS    1490.528076
Name: 2025-05-06 00:00:00, dtype: float64"
INFY.NS,2025-05-07,SELL,"Ticker
INFY.NS    1487.372559
Name: 2025-05-07 00:00:00, dtype: float64"
INFY.NS,2025-05-08,SELL,"Ticker
INFY.NS    1490.429565
Name: 2025-05-08 00:00:00, dtype: float64"
INFY.NS,2025-05-09,SELL,"Ticker
INFY.NS    1486.682251
Name: 2025-05-09 00:00:00, dtype: float64"
INFY.NS,2025-05-12,SELL,"Ticker
INFY.NS    1604.327026
Name: 2025-05-12 00:00:00, dtype: float64"
INFY.NS,2025-05-13,SELL,"Ticker
INFY.NS    1546.835815
Name: 2025-05-13 00:00:00, dtype: float64"
INFY.NS,2025-05-14,SELL,"Ticker
INFY.NS    1570.305664
Name: 2025-05-14 00:00:00, dtype: float64"
INFY.NS,2025-05-15,SELL,"Ticker
INFY.NS    1590.619751
Name: 2025-05-15 00:00:00, dtype: float64"
